id,question,constraint_score,groundedness_score,readability,hallucination_score
1,"""유분이 너무 많아 고민인데 산뜻하게 마무리되는 토너나 앰플 추천해줘.""",9.0,8.5,9.5,0.5
2,"""남성인데 피지가 폭발해. 끈적임 없는 젤 제형 수분크림 있을까?""",9.0,8.5,9.5,0.5
3,"""번들거리는 개기름은 잡고 속건조는 채워주는 '수부지'용 루틴 알려줘.""",9.0,8.5,9.5,0.5
4,"""여름에 쓰기 좋은 쿨링감 있는 지성 전용 진정 템 찾아줘.""",9.0,8.5,9.5,0.5
5,"""피지 조절 기능이 있는 약산성 클렌저 추천해줘.""",9.0,8.5,9.5,0.5
2025-06-10 00:00:00,(유사한 유분/피지/산뜻함 관련 질문 5개 추가 구성),9.0,8.5,9.5,0.5
11,"""마스크 때문에 볼이 붉고 따가워. 시카 성분 들어간 진정 앰플 추천해줘.""",9.0,8.5,9.5,0.5
12,"""피부가 예민해서 아무거나 못 써. 저자극 테스트 완료된 제품만 알려줘.""",9.0,8.5,9.5,0.5
13,"""좁쌀 여드름이 올라올 때 바로 바를 수 있는 긴급 진정 스팟 제품 있어?""",9.0,8.5,9.5,0.5
14,"""화장독 올라온 피부를 진정시킬 수 있는 허브 성분 템 찾아줘.""",9.0,8.5,9.5,0.5
15,"""티트리나 판테놀 성분이 들어간 수분 크림 비교해줘.""",9.0,8.5,9.5,0.5
16-20,(유사한 홍조/자극/성분 중심 질문 5개 추가 구성),9.0,8.5,9.5,0.5
21,"""피부가 너무 건조해서 찢어질 것 같아. 고보습 밤이나 크림 추천해줘.""",9.0,8.5,9.5,0.5
22,"""밤사이 수분이 안 날아가게 꽉 잡아주는 나이트 케어 제품 알려줘.""",9.0,8.5,9.5,0.5
23,"""히알루론산이 듬뿍 들어간 속건조 해결 앰플 있어?""",9.0,8.5,9.5,0.5
24,"""건성 피부인데 세안 후에 당김이 없는 클렌징 오일이나 폼 추천해줘.""",9.0,8.5,9.5,0.5
25,"""오일 타입보다는 수분감이 느껴지는 에센스나 세럼 위주로 알려줘.""",9.0,8.5,9.5,0.5
26-30,(유사한 영양/속건조/장벽 케어 관련 질문 5개 추가 구성),9.0,8.5,9.5,0.5
31,"""블랙헤드랑 화이트헤드가 고민이야. 각질 제거되는 토너패드 추천해줘.""",9.0,8.5,9.5,0.5
32,"""모공이 늘어져 보여서 탄력을 주고 싶어. 모공 수축에 도움되는 앰플 있어?""",9.0,8.5,9.5,0.5
33,"""리들샷 100이랑 300 차이점이 뭐야? 모공 고민에 뭐가 더 좋아?""",9.0,8.5,9.5,0.5
34,"""피부 결이 거칠거칠해. 자극 없이 매끈하게 만들어주는 제품 알려줘.""",9.0,8.5,9.5,0.5
35,"""코 주변 모공 속에 피지가 꽉 찼어. 녹여낼 수 있는 오일이나 밤 있어?""",9.0,8.5,9.5,0.5
36-40,(유사한 스피큘/각질/모공 타이트닝 관련 질문 5개 추가 구성),9.0,8.5,9.5,0.5
41,"""여드름 지나간 자리에 거뭇한 흉터가 남았어. 흔적 지워주는 미백 템 추천해줘.""",9.0,8.5,9.5,0.5
42,"""나이아신아마이드 들어간 제품 중에 가장 효과 좋은 게 뭐야?""",9.0,8.5,9.5,0.5
43,"""전체적으로 피부톤이 칙칙해. 밝고 환하게 만들어주는 비타민 세럼 있어?""",9.0,8.5,9.5,0.5
44,"""기미랑 잡티가 고민인데 4주 안에 효과 볼 수 있는 제품 알려줘.""",9.0,8.5,9.5,0.5
45,"""낮에도 바를 수 있는 끈적이지 않는 미백 크림 추천해줘.""",9.0,8.5,9.5,0.5
46-50,(유사한 색소침착/비타민/톤업 관련 질문 5개 추가 구성),9.0,8.5,9.5,0.5
