상품명,URL,리뷰수,평점,흡수력,보습력,자극도,한줄요약,상세정보
랩팩토리_멀티밤9g진정스틱-,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1038894&recmYn=N,336,4.7,"만족해요 73%, 보통 25%, 아쉬워요 2%",촉촉해요 80%,순해요 76%,"랩팩토리 멀티밤은 자연스럽게 수분감과 광을 더해 주며, 수정 화장에도 적합한 제품입니다.","### **[랩팩토리 멀티밤 주름 스틱 9g 상세설명]**

### **1. 핵심 컨셉**

- **""초간편 링클 케어, 쓱 바르면 끝나는 광채 피부 완성""**
- 눈가, 팔자주름, 목주름 등 고민 부위에 손대지 않고 수시로 케어하는 멀티 밤입니다.

### **2. 주요 특징 (Point)**

- **Point 01. 미백 & 주름 개선 이중 기능성**: 식약처 인증 성분인 아데노신과 알파-비사보롤이 함유되어 주름 완화와 안색 개선을 동시에 도와줍니다.
- **Point 02. 콜라겐 영양 공급**: 하이드롤라이즈드콜라겐과 콜라겐 추출물이 배합되어 탄력을 잃은 피부를 쫀쫀하고 건강하게 가꾸어줍니다.
- **Point 03. 강력한 오일 보습막**: 해바라기씨오일, 동백나무씨오일 등 식물성 오일 성분이 건조한 부위에 즉각적인 유수분 보호막을 형성합니다.
- **Point 04. 언제 어디서나 광채 부여**: 메이크업 전후에 사용 시 자연스러운 수분광을 연출하며, 휴대성이 좋아 파우치나 가방에 쏙 들어가는 사이즈입니다.

### **3. 추천 피부 타입 및 상황**

- 눈가 주름이나 목주름이 도드라져 보여 집중 케어가 필요한 분
- 야외 활동 중 피부가 갑자기 당기거나 건조함을 느낄 때
- 자연스러운 물광 메이크업 표현을 원하는 분
- 복잡한 스킨케어 대신 간편한 스틱 타입 보습제를 찾는 분

### **4. 주요 성분**

- **하이드롤라이즈드콜라겐**: 피부 탄력 및 영양 전달
- **아데노신**: 주름 개선 기능성 성분
- **해바라기씨오일/동백나무씨오일**: 깊은 보습 및 수분 증발 차단
- **알파-비사보롤**: 미백 및 피부 진정 도움

### **5. 사용 방법**

- 스틱 하단의 다이얼을 돌려 내용물을 적당량 올린 후, 건조함이나 주름이 고민되는 부위에 부드럽게 펴 발라줍니다.
- **TIP**: 입술이 건조할 때 립밤 대용으로 사용하거나, 쇄골 등 바디 라인에 광채를 줄 때 사용해도 좋습니다."
마데카21_테카솔루션수딩크림50ml-,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1044554&recmYn=N,3657,4.8,"마음에 들어요 83%, 보통 17%",촉촉해요 80%,순해요 81%,"피부 진정과 보습에 중점을 둔 저자극 크림으로, 겨울철에 사용하기 좋습니다.","- Madeca 21
- 테카 솔루션
- 수딩 미스트 토너
- TECA SOLUTION SOOTHING MIST TONER
- Skin Safety Tested
- DERMATOLOGICAL HERITAGE SINCE 1968
- 200 ml / 6.76 fl. oz.

Madeca 21

동국제약의 피부 과학 기술 노하우로
피부 고민을 집중 케어해주는 저자극 스킨케어

마데카21 테카 솔루션
피부에 전하는 진정한 진정

Madeca 21
CLEAR 다목적 진정패드
RELIEF 저자극 진정 크림

TECA(센텔라아시아티카 정량추출물)와 병풀추출물 조합으로 자극은 잠재우고 수분을 채워주는 수딩 더마 라인

TECA SOLUTION SOOTHING MIST TONER

Madeca 21
TECA SOLUTION
Soothing Mist Toner

Centella Asiatica Extract

A hydrating mist toner with a combination of TECA (Centella Asiatica Extract) to help soothe and refine skin texture.

DERMA FORMULA

수분 겸 병풀 토너

메마른 피부에 촉촉하게 수분을 채워 피부 관리를 해주고 촉촉한 피부 결로 정돈해주는 병풀추출물 함유

데일리 저자극 수딩 토너

산뜻촉촉 워터 제형  
빠른 순간 피부에 흡수되어  
끈적임 없이 산뜻하고 촉촉한  
워터 타입 텍스처  

즉각 피부결 개선  
인체 적용 시험으로 입증된  
1회 사용만으로도  
즉각적인 피부결 개선에 도움  

TEXTURE  

MAIN INGREDIENT  

```
*동국제약 개발 핵심 원료
TECA
센텔라아시아티카 정량추출물
병풀추출물
(마데카식애씨드, 아시아티카씨드, 아시아타코사이드)
새싹 곤란렉스
(밀싹추출물, 유채추출물, 무씨추출물, 양배추추출물, 브로콜리추출물, 자주개자리추출물)
부틀레야추출물

HOW TO USE
사용 전 가볍게 흔들어 준 후, 눈을 감고 얼굴 전체에 고르게 분사하여 흡수시켜 줍니다.
* 피부에 건조함이 느껴질 때마다 수시로 뿌려주세요.
```

```
DERMATOLOGICAL TEST
1회 사용만으로도 즉각적인 피부 결 개선에 도움
(피앤케이피부임상연구센터/2022.12.21~2022.12.23/21명)
피부 저자극 테스트 완료
(피앤케이피부임상연구센터/2022.12.21~2022.12.23/34명)

Madeca 21
TECA SOLUTION SOOTHING LINE

데일리 저자극 케어
```

#빨리는병풀토너  
테카 솔루선  
수딩 미스트 토너  
200 ml  
#수분장벽앰플  
테카 솔루선  
수딩 캡슐 앰플  
30 ml  
#12총보습크림  
테카 솔루선  
수딩 크림  
50 ml  
#저자극병풀젤렌저  
테카 솔루선  
수딩 젤클렌저  
100 ml  

집중 스팟 케어  
짜기 전  
테카 솔루선  
수딩 스팟 젤  
15 ml  
#스팟저극진정젤  
Madeca 21  
#감쭉스팟진정  
릴리프  
스팟 케어 패치  
68매  
#클리어  
스팟 큐어 패치  
24매  
+ 의약품  
클리어  
스팟 큐어 패치  
24매  

Madeca 21  
Teca Solution  
Skin Type  
# 청정 보호  
# 피부장벽  
# 수분 공급  
# 피부 진정  
# 관리 방법  
# 건강한 피부

본 상품 정보(상품 상세, 상품 설명 등)의 내용은 협력사가 직접 등록한 것 입니다.

상품정보제공 고시

제품명
마데카21 테카 솔루션 수딩 미스트 토너

내용물의 용량 또는 중량
200 ml

제품 주요 사항
모든 피부 타입

제품번호 및 사용기간
별도표기

사용방법
사용 전 가볍게 흔들 후, 눈을 감고 얼굴 전체에 고르게 분사하여 흡수시켜 줍니다. 피부에 자극감이 느껴질 때 수시로 뿌려줍니다.

식품의약품안전처 심사 필 유무
해당 없음

""화장품법,에 따라 기재·표시해야하는 모든 성분""
정제수, 글리세릴, 다이프로필렌글라이콜, 메틸프로판다이올, 트레할로스, 방부제, 백묘꽃추출물, 접시꽃추출물, 부틸렌글라이콜, 타마누/잇꽃추출물, 하이드록시시아노아세트산, 자작나무가지를추출물, 유자추출물, 무화과추출물, 피피T-13, 디메치콘, 디소듐이디티에이, 12-헥사데칸, 카프릴릭/카프릭트리글리세라이드, 하이드로제네이티드레시틴, 에틸헥실글리세린, 로즈마리잎추출물, 하이드로제네이티드레시틴, 시트릭애씨드, 글루콘올락톤, 세레신-20, 아시아티코사이드, 마데카소사이드, 아시아 티카제, 토코페릴, 디아이소스테아릴, 향료

1) 화장품 사용 시 또는 사용 후 직접 관찰에 의하여 사용부위가 붉은 반점, 부어오름을 또는 가려움증 등의 이상 증상이 있는 경우 전문의의 등과 상담할 것
2) 상하기 쉬운 부위 등에는 사용을 자제할 것
3) 본부 착용 시의 주의사항 
가) 어린이 손에 닿지 않는 곳에 보관할 것
나) 직접햇볕을 피해 보관할 것

제조국
대한민국

화장품제조업자
코스맥스(주)

화장품책임판매업자
동국제약주식회사

품질보증기준
본 상품에 이상이 있을 경우, 공정거래위원회 고시 '소비자분쟁해결기준'에 의해 보상해 드립니다.

소비자 상담실
080-569-8607(수신자부담)"
더마블록_PDRN콜라겐크림50ml(by셀퓨전씨)-,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1062781&recmYn=N,219,4.8,"만족해요 74%, 보통 26%",촉촉해요 74%,순해요 68%,민감한 피부에도 부담 없이 사용할 수 있는 순하고 촉촉한 크림입니다.,"```
Dermablock® Dermablock® Dermablock®
집중 관리받은 듯한 물광 피부 홈케어로 가능할까?
매끈하게 차오르는 수분 결과
연어유래 PDRN + 콜라겐 + 하이알루론산
물광 에너지가 피디알엔 콜라겐 앰플
```

결은 부드럽게, 광은 짱짱하게  
피디알엔 콜라겐 앰플  
미백, 주름 개선 2중 기능성  
피부 자극 테스트 완료  

Dermablock®  
DEWY SKIN & FIRMING  
PDRN COLLAGEN AMPOULE  
TENSION UP  
30ml / 1.01 fl. oz  

#물광에너지  
#수분결광  
#탄력개선

Dermablock® Dermablock® Dermablock  
30ml / 1.01 fl oz  
TENSION UP  

CHECK POINT  

Point 1  
집중관리를 받은 듯한  
물광 탄력 피부로 케어  

Point 2  
연어알 터지듯 캡슐 성상의  
수분 가득 연어물광 앰플  

Point 3  
PDRN, 콜라겐, 히알루론산  
연어알추출물, 알파리포산 함유  

COLLAGEN Ampoule  
DEWY SKIN & FIRMING  
PDRN BLOCK  
Dermablock®  
TENSION UP  
30ml / 1.01 fl. oz.  

- 물광 부스팅, 피부결&탄력 개선의
- 물광탄력 시너지원 효과
- 히알루론산
- PDRN COLLAGEN AMPOULE
- DEWY SKIN & FIRMING
- TENSION UP
- 30ml / 1.01 fl. oz
- 콜라겐
- 알파리포산
- 피부에 생기를 부여하여 맑고 건강한 피부로 케어

```
TEXTURE
잔여감 없이 산뜻하게 흡수되는 몽글몽글한 연어알 제형

HOW TO USE
토너 다음 단계에서 적당량을 덜어 피부결을 따라 부드럽게 펴 바르라 흡수시켜줍니다.

PDRN LINE
연어 유래 PDRN과 제품별 특화 성분이 함유된 물광탄력 라인

Peeling
아쿠아필
물광축척

산소필
맑은광채
```

```
Skincare

Dermablock®

물광부스팅
저자극 PHA, LHA
물광 아쿠아필링
핑크머드&비타민C
뿔칼 산소필링

물광에너지
저자극 PHA, LHA
연어물광 앰플
수분결광
연어물광 앰플

물광퍼밍
PDRN 콜라겐 크림
매끈탄력광
연어물광 크림

Dermablock®
PDRN COLLAGEN TONER
DEWY SKIN & FIRMING
TENSION UP
150ml / 5.07 fl. oz.
```

```
Dermablock ® Dermablock ® Dermablock

본 상품 정보(상품 상세, 상품 설명 등의 내용)은 협력자가 직접 등록한 것입니다.

상품정보 제공 고시

제품명
더마블록 피디알엘렌 콜라겐 앰플

내용물의 용량 또는 중량
30ml (1.01 fl.oz)

제품 주요 사용
모든 피부

사용기간(또는 개봉 후 사용기간)
36개월

사용방법
토너 다음 단계에서 적당량을 덜어 피부결을 따라 부드럽게 펴 발라 줍니다.

화장품제조업자
코스맥스(주)

화장품책임판매업자
(주)씨엠에스랩

제조국
대한민국

화장품법에 따라 기재해야 하는 모든 성분
정제수, 다이프로필렌글라이콜, 글리세린, 1,2-헥산다이올, 나이아신아마이드, 메틸프로판다이올, 소듐하이알루로네이트, 진주추출물, 하이드롤라이즈드콜라겐, 마트리카리엘추출물, 맥주효모추출물, 녹차추출물, 연어비늘추출물, 토마토추출물, 시금치추출물, 로우스위트븐베리추출물, 포도추출물, 하이드롤라이즈드아조리포로네이트, 흰윔버섯추출물, 벤질알코올, 부틸렌글라이콜, 글리세릴세라타이트, -10의 하수염산염, 젤라틴, 판테놀, 에칠헥실글리세린, 알란토인, 아데노신, 감초추출물, 베타-글루칸, 사야노스파르발라, 토르테릴, 소듐포스페이트, 하이드록시프로필, 다이소듐이디티에이트, 포타슘아세틸드레인, 잔탄검, 다이소듐미타페이트

기능성 화장품
미백, 주름개선 2중 기능성 화장품

식품의약품안전처 심사필 여부

사용할 때의 주의사항
1. 화장품 사용 시 또는 사용 후 즉시광선에 의하여 사용부위에서 붉은 반점, 부어오름 또는 가려움증 등이 이상 증상이 나타나는 경우 전문의의 도움을 받으실 것
2. 상처가 있는 부위에드는 사용을 자제할 것
3. 보관 및 취급 시의 주의사항
가) 어린이의 손이 닿지 않는 곳에 보관할 것
나) 직사광선을 피해서 보관할 것

품질보증기준
본 제품에 이상이 있는 경우 공정거래위원회 고시 ""소비자분쟁 해결기준""에 의해 보상해 드립니다.

소비자상담 전화번호
080-447-1820
```"
바이_리얼베리어세라베이스퍼밍부스터크림50ml-,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=B202507077175&recmYn=N,399,4.7,"마음에 들어요 72%, 보통 26%, 아쉬워요 2%","촉촉해요 67%, 보통이에요 29%, 약간 건조해요 4%","순해요 70%, 보통이에요 28%, 자극이 있어요 2%",재구매하며 사용하는 분들이 많고 성분과 사용감에 대한 긍정적인 평가가 많습니다.,성분 정보 없음
본셉_비타씨컨실아이크림10ml-,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1061919&recmYn=N,400,4.6,"마음에 들어요 71%, 보통이에요 27%, 아쉬워요 2%","촉촉해요 67%, 보통이에요 30%, 약간 건조해요 3%","순해요 70%, 보통이에요 29%, 자극이 있어요 1%","가격 대비 품질이 꽤 좋아 만족스럽고, 자연스럽게 다크서클을 가릴 수 있는 제품입니다.",성분 정보 없음
본셉_비타씨동결건조더블샷앰플키트-,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1061918&recmYn=N,5142,4.8,"마음에 들어요 84%, 보통이에요 16%",촉촉해요 78%,순해요 70%,비타민 C 성분이 함유된 앰플로 피부에 생기와 활력을 더해주는 제품입니다.,"CAPSULE DOUBLE  
SHOT AMPOULE KIT  
B.  
BONCEPT  
본셋이 큐레이팅한 두 번째 성분 플레리스트  
VITAMIN C

RETINOL

2nd BEAUTY PLAYLIST #VITAMIN C X RETINOL

BONCEPT by TONYMOLEY

토니모리의 기술력을 담은 나만의 성분 큐레이터

본셉

피부 문제 해결을 위한 최적의 성분을 큐레이팅하고 
흔드는 극대화한 기술 역관에 묻이하여

- VITA C
- JELLY MASK
- 1,000
- VITA C
- CREAM
- 1% VITAMIN C*
- 100 IU
- PURE RETINOL
- VITA C
- AMPOULE EYE GEL PATCH
- 3,000
- VITA C
- CONCEAL EYE CREAM
- VITA C
- DOUBLE SHOT SERUM
- PURE VITA C 30% CAPSULES
- 2,000
- 본연의 건강한 아름다움을 되찾아 줍니다.

#7일기미잡티리셋  
피부에 전하는  
신선한 비타C-크릿!  

VITA C  
DOUBLE SHOT  
AMPOULE  
300 IU  
PURE RETINOL  

3 % CAPSULE  
[비타C 더블샷 앰플 키트]  
3 % 동결건조 캡슐  

FRESH  
WITH A SECRET  

```
VITA C - SECRET

BONCEPT VITA C DOUBLE SHOT AMPOULE MASK

* 7일 만에 기미 잡티 개선 - 36.0%
* 피부 속 멜라닌 개선 - 18.6%
* 피부 탄력 개선 - +14.5%
* 피부톤 밝기 개선 - +3.5%

2024.11.04-11.19 / 피엔케이피부임상연구센터(주) / 시험인원: 21명
**앰플, 아이 젤 패치, 앰플 마스크 젤리, 크림, 아이 크림 6종 병행 사용 시
**앰플, 아이 젤 패치, 젤리 마스크, 크림, 아이 크림 5종 병행 사용 시

What is your skin concern today?

오늘 당신의 피부 고민은?
눈에 보이기 시작한 기미/잡티
```

- 생기 없이 촉촉해진 피부
- 얼룩덜룩해진 피부
- 거칠고 푸석한 피부 결과

- 기미 잡티 케어를 위한 성분
- 순수 비타민 C X 순수 레티놀

```
Vita C
Pure Vitamin C × Pure Retinol

VITA C
DOUBLE SHOT AMPOULE
300 IU PURE RETINOL

BONCEPT

VITAMIN C
RETINOL
CAPSULE DOUBLE SHOT AMPOULE KIT
본셉 비타씨 동결건조 더블샷 앰플 키트
50mg + 10ml
#기미잡티부터 #피부탄력까지

BONCEPT PICK! PLAYLIST
```

```
7일만 사용하면 알 수 있는 피부 개선 효과!

고객 만족도 100%

눈에 띈 기미/잡티가 없어진 느낌이에요 100%

칙칙했던 피부 톤이 맑고 귤일해진 느낌이에요 100%

피부 안색이 개선된 느낌이에요 100%

피부에 탄력이 생긴 느낌이에요 100%

* 인체적용시험 대상자 설문 평가 중 긍정적 만족도(좋음 이상) 평가 기준
```"
더랩_바이블랑두클리어히알물광부스터앰플30ml-,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1060644&recmYn=N,1094,4.8,"마음에 들어요 79%, 보통이에요 21%",촉촉해요 79%,순해요 79%,"민감 피부도 안심하고 사용할 수 있는 저자극 스킨케어로, 깊은 수분과 맑은 광채를 선사합니다.",성분 정보 없음
닥터오라클_큐어소나리얼토닝클리어앰플40ml-,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1051750&recmYn=N,364,4.8,"마음에 들어요 78%, 보통이에요 22%",촉촉해요 73%,순해요 73%,촉촉하고 자극없이 효과적인 스킨케어 제품입니다.,"유통기한 표기 안내  
큐어소나 라디언스 글로우 앰플 중 일부 제품에서 운송 중 청크 지워짐 등으로 인해 유통기한 표기가 부분적으로 지워져 오인이 있을 수 있어 안내드립니다.  
지워진 제품이미지  
올바르게 표기된 제품이미지  
2028년 01월 14일까지  
ZABQB  
유통기한과 제품품질에 이상이 없으므로 안심하고 사용하셔도 됩니다.  

CURESONA by Dr.Oracle  
큐어소나 피부고민별 데일리 앰플  
#미백앰플 #결광앰플 #모공앰플  

Ampoule  
CURESONA LINE UP  
CURESONA  
Real Toning Clear Ampoule  
Formulated by sea algae extract  
40ml / 1.35 fl. oz.  

CURESONA  
Radiance Glow Ampoule  
PDRN + Collagen  
40ml / 1.35 fl. oz.  

CURESONA  
α Calming Repair Ampoule  
40ml / 1.35 fl. oz.  

리얼 토닝 클리어 앰플  
#미백토닝  
MILK LIPIDS  
PEPTIDE  
GLUTATHIONE  

오투 카밍 리페어 앰플  
#진정리페어  
O₂  
HYALURONIC ACID  
TEA TREE OIL  

래디언스 글로우 앰플  
#피부결광채  
PDRN  
COLLAGEN  
ADENOSINE  

""힘없이 늘어진 피부가 고민이에요  
피부 결을 매끊하게 관리하고 싶어요  
피부에 광채감이 있으면 좋겠어요""  

푸석해진 피부가 자꾸만 더 늘어진다는 걸

탄력 있는 광채 케어가 필요하다는 것  

콜라겐과 나이의 상관관계  

탄탄 결과를 위한 광채 솔루션  

* 상기 이미지는 이해를 돕기 위한 이미지입니다.  

Radiance  

CURESONA  
Radiance Glow Ampoule  

PDRN  
피부 노화를 억제하고  
콜라겐 합성을 촉진  

콜라겐  
많은 수분을 끌어당겨 머금으면서  
피부의 탄력과 주름을 효과적으로 개선  

아데노신  
식약처에서 고시한 주름개선 기능성  
성분으로 뛰어난 탄력 효과  

자일리톨  
피부의 수분을 공급하고  
수분 장벽을 강화해주어  
보습 작용  
* 원료적 특성에 한함  

Radiance Glow Complex™를 함유한 앰플이  
힘 없고 푸석한 피부를 탄탄하게 해줘  
튼튼한 피부로 가꿔줍니다.

- POINT 01
- 큐어소나만의 광채키워드
- Radiance Glow Complex™
- 탱탱한 탄력 케어
- 매끈한 피부 결
- 맑은 결 광채
- 주름 케어로 안티에이징
- 처진 예를 슬로우 에이징
- PDRN
- 콜라겐
- 아데노신
- 자일리톨

```
POINT 02
자극은 줄이고 깊은 곳까지
Bio Mild Deep System

민감한 피부도 안심하고 사용할 수 있도록
자극은 최소화하고
유효 성분은 피부에 고스란히 전달되어
건강한 피부 컨디션을 유지하는 데 도움을 줍니다.

CURESONA SOLUTION
PDRN과 콜라겐이
매끈한 피부 결 관리에 도움을 주고
광채감을 부여하는 탄탄 앰플

CURESONA Radiance Glow Ampoule

POINT 03
촉촉하게 수분 충전
Daily Moisturizing
```

안하이드로자일리톨을 함유하여  
푸석하고 건조한 피부에 촉촉한 수분을 충전하여 줍니다

리얼 토닝 클리어 앰플  
✔️ 찐치한 피부 톤이 고민일 때  
✔️ 맑고 환한 피부로 관리하고 싶을 때  
미백 영양이 가득한 무색 반투명 텍스처

오투 카밍 리페어 앰플  
✔️ 기름기가 많아 번들거릴 때  
✔️ 남들보다 쉽게 피부가 예민할 때  
산뜻하고 쫀쫀하게 스며드는 무색 투명 텍스처

래디언스 글로우 앰플  
✔️ 피부 색이 푸석 거릴 때  
✔️ 탄력 있는 윤광 피부로 케어하고 싶을 때  
부드럽게 피부 색을 정돈해주는 옐로우 벨벳 텍스처

자극 없이 효능을 전달하는 데일리 앰플  
[피부 저자극 테스트] 완료  

HOW TO USE  
세안 후 또는 토너 사용 후 적당량을 덜어 얼굴에 골고루 펴 발라줍니다.  

TIP  

하루 2회, 흡은 취침 전 1회 사용을 권장합니다.  
스포이드를 1번 사용할 때 흡입량이 1회 적정 사용량입니다.  

본 상품 정보(상품 상세, 상품 설명 등)의 내용은 협력사가 직접 등록한 것입니다.  

상품정보 제공고시  
제품명  
닥터오라클 큐어소나래디언스 글로우앰플 40ml  

제품 주요 사양  
모든 피부  

제조국  
대한민국  

화장품책임판매업자  
오라클코스메틱(주)  

화장품제조업자  
(주)코리아나화장품  

용량 또는 중량  
40 ml / 1.35 fl. oz.  

사용방법  
적당량을 취해 얼굴 부위에 골고루 펴 바릅니다.  

화장품법에 따라 기재·표시해야 하는 모든 성분  
(전성분)  
정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 하이드로라이즈드드립글리세릴, 에델바이스추출물, 자일리톨, 자임리틀, C13-15알카네, C14-22알카미드, 소듐하이알루로네이트, 다이소듐이디티에이, 황색4호, 향료.  

식품의약품안전처 심사필 유무  
(기능성화장품)  
화장품법에 따른 기능성 화장품 심사(또는 보고)를 필함  

용법/용량  
용법용량: 본품 적당량을 취해 피부에 골고루 바르빈다.  
효능효과: 피부의 주름 개선에 도움을 준다.  
주성분: 에델바이스  

사용할 때의 주의사항  
1) 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부유오름 또는 가려움증 등의 이상 증상이 나 부작용이 있는 경우 전문의 등과 상담할 것  
2) 상처가 있는 부위 등에 사용하는 것을 지양할 것  
3) 보관 및 취급 시 주의사항이 어린이의 손이 닿지 않는 곳에 보관할 것) 직접적인 햇볕으로 보관할 것  

사용 기간 또는 개봉 후 사용 기간  
제품 내 별도표기  

품질보증기준  
공정거래위원회 고시 소비자분쟁해결기준에 의함  

소비자상담 관련 전화번호  
1544-8976  "
더페이스샵_스밈보습밀도장벽스킨160ml-,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=B202507076906&recmYn=N,120,4.8,"만족해요 80%, 보통 20%",촉촉해요 79%,순해요 81%,묵직한 제형으로 뛰어난 보습감을 제공하며 겨울철 필수템으로 추천됩니다.,"- 쫀쫀 보습 장벽
- 보를 보습 세럼
- TFS : THE SMIM
- MOIST RECHARGE REPAIR SERUM
- 45ml / 1.52 fl oz.
- THE FACE SHOP
- 스밈 보습 몰도 장벽 세럼
- 주름 개선 / 미백 기능성 화장품
- Dense skin smooth moisturizing density that permeates and completes with the power of fermentation energy
- 부드럽고 단하게 스며드는 쫀쫀 보습 장벽 세럼
- 스킨, 세럼, 에멀전 병행 사용 시 120시간* 촉촉 보습!
- * 스밈 스킨, 세럼, 에멀전 병행 사용 시
- * 시행기간: (주)엘리드 | 시행기간: 2024.06.21~2024.06.26 | 시행대상: 22~56세 여성 22명

발효 에너지의 힘으로 차곡차곡 스므드는  
출출 보습 강력 세럼  
스킨, 세럼, 에멀전 병행 사용 시 120시간* 피부 보습 지속  
저분자 발효 콜라겐  
쫀쫀 세럼  
발효 세라마이드  
장벽 케어  
보습 밀도  
무향  
민감성 피부도 OK!

```
120시간
지속되는 만족감

120시간 후, 끈적임 없이 95.4%
120시간 후, 촉촉한 보습력이 오래 지속되는 느낌 95.4%
120시간 후, 들뜬 각질이 잠재워진 느낌 90.9%
사용 직후, 피부가 편안한 느낌 90.9%

* 조사기관: 글로벌리서치 | 조사기간: 2024.08.19~2024.08.26 | 조사대상: 20~49세 여성 30명

Powered by fermentation energy, it penetrates deeply and creates a dense, firm skin

01
POINT
스미스킨, 세럼, 에멀젼 병행 사용시,
바르자마자
```

피부 보습 933% 개선

5,000
사용전
46,548
사용 직후

* 조사기관: ㈜엘리드 | 조사기간: 2024.06.21~2024.06.26 | 조사대상: 22~56세 여성 22명

02
POINT

스민 스킨, 세럼, 에멀전 병행 사용시, 120시간도 끄떡없는 에너자이저 보습

촉촉하게 스며들어 견고하게 완성되는 피부 보습

65%
UP

120시간 피부보습 지속 효과

```
120시간 후 피부 보습 + 65% 증가

* 조사기관: ㈜엘리드 | 조사기간: 2024.06.21~2024.06.26 | 조사대상: 22~56세 여성 22명

03 POINT

발라도 발라도 건조하다면
피부 장벽 손상을 의심해 볼 때!

손상 피부 장벽 개선도 함께해야
꽉 찬 보습 밀도 피부 완성

스밍 스킨, 세럼, 에멀전 병행 사용시,
손상된 피부 장벽
83.851% 개선

(%) 컬러바지(9월) 한국소비자원

2.299%

86.137%

미적용 부위    제품 적용 부위

* 조사기관: ㈜엘리드 | 조사기간: 2024.11.25~2025.01.14 | 조사대상: 21~56세 여성 20명

04 POINT

발라도 내 피부는 괜찮고!
```

발효 에너지의 힘으로  
차곡차곡 스며들어 완성하는  
밀도 있는 피부  

저분자 발효 콜라겐  
발효 세라마이드  

탄탄하게 버터주는  
보습 & 장벽  

05  
POINT  

앗, 혹시 민감하신가요?  
걱정은 NO!  

민감 피부도 매일매일  
편안하게 보습 충전  
민감성 피부 패치 테스트 완료!  

피부 반응도 0.00! 저자극 판정!  

```
Dermatologically tested
Texture
스머들수록 쫀쫀한
SOFT SERUM
발효 저분자 콜라겐 + 발효 세라마이드 120시간 보습 밀도 장벽 케어
“ 스밈 ”
탄탄한 기초 장벽
초초한 보습막
쫀쫀 보습 세럼
부드럽고 담백해
탄탄 보습 에멀전
쫄 찬 힘!
보습 장벽 크림
```

죄송하지만, 이미지를 직접 보거나 처리할 수는 없습니다. 대신에 도움이 필요하시면 다른 방식으로 요청해 주세요!"
더랩바이블랑두_클리어히알결광스킨핏프렙40ml-,https://www.daisomall.co.kr/pd/pdr/SCR_PDR_0001?pdNo=1073406&recmYn=N,31,4.7,"만족해요 77%, 보통 23%","촉촉해요 80%, 보통 20%","순해요 70%, 보통 30%","가벼운 제형으로 빠르게 흡수되며, 피부에 촉촉함과 광채를 선사해 화장 전에 사용하기 적당한 제품입니다.","죄송하지만, 이미지를 인식하거나 그 안의 텍스트를 추출할 수 없습니다. 다른 질문이 있으시면 도와드리겠습니다.

더랩바이블랑두의  
화잘먹 결과 레이어링  
DAILY CARE  
SPECIAL CARE  

```
STEP 1
클리어 하얄 결정광
젤 클렌저
#매끈결정돈

STEP 2
클리어 하얄 결정광
세럼 미스트
#뿌리는광채

STEP 3
클리어 하얄 결정광
스킨 핏 프랍
#수분착붙

STEP 4
클리어 하얄 결정광
선 에센스
#물광자차

STEP 5
클리어 하얄 결정광
젤 마스크
#긴급수분충전
```

TEXTURE  
끈적임 없이 빠르게 흡수되는  
산뜻한 워터 타입 제형

깔끔하게 마무리되는 보습감 가득한 제형

본 상품 정보(상품 상세, 상품 설명 등)의 내용은 협력사가 직접 제작한 것입니다.

상품정보제공 고시

제품명  
더랩 바이 블랙두 클리어 히알 결광 세럼 미스트 150ml

용량 또는 중량  
5.07 fl. oz. / 150 ml

제품 주요 사항  
모든 피부 타입

사용기한 또는 개봉 후 사용 기간  
개봉 전 36개월, 개봉 후 12개월

10~20cm 정도 떨어져 눈을 감고 얼굴 전체에 고르게 분사하여

죄송합니다. 

```
용법/용량
-
사용할 때의 주의사항
1. 화장품 사용 시 또는 사용 후 직사광선에 의하여 사용부위가 붉은 반점, 부어오름 또는 가려움증 등의 이상 증상이 나타나는 경우에는 전문가의 손과 상담할 것
2. 상처가 있는 부위 등에는 사용을 자제할 것
3. 보관 및 취급 시 주의사항
가) 어린이의 손이 닿지 않는 곳에 보관할 것
나) 직사광선을 피해서 보관할 것
품질보증기준
본 제품에 이상이 있을 경우 공정거래위원회 고시
“소비자분쟁해결기준”에 의하여 보상해 드립니다.
소비자상담
관련 전화번호
더랩 바이 블랙듀 고객센터 / 02-544-5996
```"
